আছ
আছে
আসামিদের
আত্মীয়স্বজনকে 
আত্মরক্ষা আত্ম+রক্ষা
ঊধ্বর্তন  ঊধ্বর্তন
ঊরু ঊরু
ঊটের ঊট+ের
ঋণদানকারী ঋণ+দান+কার+ী
ঋণগ্রহীতা ঋণ+গ্রহীতা
ঋণপ্রবাহের ঋণ+প্রবাহ+ের
ঔদ্ধত্য ঔদ্ধত্য
আছেতা আছে+তা
আছেন আছ+ে+ন
আধাসরকারি আধা+সরকার+ি
আঘাত আঘাত, আ+ঘাত
আফ্রিকানকে আফ্রিকা+ন+কে
আফ্রিকারও আফ্রিকা+র+ও
আসামি আসামি
আসব আস+ব
আসরের আসর+ের
আতিশয্যে আতিশয্য+ে 
আত্মীয়কে আত্ম+ীয়+কে
আত্মদান আত্ম+দান
আত্মনির্ভরশীল আত্ম+নির্ভর+শীল
আড্ডাই আড্ডা+ই
আবাহনী আবাহন+ী
আবাল্যের আ+বাল্য+ের
আবেদন আবেদন
আবেগ আবেগ
আবেগে আবেগ+ে
আবদারের আবদার+ের
আব্বাও আব্বা+ও
আচমকাই আ+চমক+া+ই
আচরণকেও আচরণ+কে+ও
আদর্শনগর আদর্শ+নগর
আগুন আগুন
আগমনে আ+গমন+ে
আগ্রাসন আ+গ্রাস+ন
আগ্রহ আগ্রহ
আগ্রহও আগ্রহ+ও
আইডিয়া আইডিয়া
আইনবিরোধী আইন+বি+রোধ+ী
আইনই আইন+ই
আকাল আ+কাল
আকারভেদে আকার+ভেদ+ে
আকারে আকার+ে
আকাশ আকাশ
আকাশচুম্বী আকাশ+চুম্ব+ী
আকাশরেল আকাশ+রেল
আক্রমণে আক্রমণ+ে
আলীম আলীম
আলোচনাক্রমে আলোচনা+ক্রম+ে
আলোকসজ্জার আলোক+সজ্জা+র
আলোড়িত আলোড়িত
আমেরিকা আমেরিকা
আমদানি আমদানি
আমলায় আমলা+য়
আম্বরখানায় আম্বর+খানা+য়
আনেনি আন+ে+নি
আনিতে আন+িত+ে
আনন্দ আনন্দ
আন্দোলন আন্দোলন
আওয়ামীবিরোধী আওয়ামী+বি+রোধ+ী 
আপনাদের আপন+া+দের
আপনজন আপন+জন
আপনমনে আপন+মন+ে
আরাধনায় আরাধনা+য়
আরেকজনকে আর+েক+জন+কে
আরেকটি আর+েক+টি
আর্সেনিকে আর্সেনিক+ে
আর্কাইভের আর্কাইভ+ের
আশাহীন আশা+হীন
আশির আশি+র
আশঙ্কাজনক আ+শঙ্কা+জনক
আশঙ্কাও আ+শঙ্কা+ও
আটকাতে আটক+া+তে
আটটি আট+টি
আড়াইহাজারের আড়াই+হাজার+ের
ভীষণভাবেই ভীষণ+ভাব+ে+ই
ভীতি ভীত+ি
ভাষণে ভাষণ+ে
ভাত ভাত
ভাবধারার ভাব+ধারা+র
ভাবমূূর্তি ভাব+মূূর্তি 
ভাগ ভাগ
ভাই ভাই
ভাইবোনেরা ভাই+বোন+েরা
ভাইরাসে ভাইরাস+ে
ভাইটির ভাই+টি+র
ভালবাসাগুলো ভাল+বাসা+গুলো
ভারত ভারত
ভারটাও ভার+টা+ও
ভেদে ভেদ+ে
ভেন ভেন
ভেন্যু ভেন্যু
ভেড়া ভেড়া
ভেড়ামারা ভেড়া+মার+া
ভিসা ভিসা
ভিত্তিতে ভিত্তি+তে
ভিকটিম ভিকটিম
ভিক্ষোভের ভি+ক্ষোভ+ের
ভিক্ষুকদের ভিক্ষুক+দের
ভিন ভিন
ভিড়ের ভিড়+ের
ভোগ ভোগ
ভোগান্তিই ভোগান্তি+ই
ভোগে ভোগ+ে
ভোলারও ভোল+া+র+ও
ভোলেনি ভোল+ে+নি
ভোলেননি ভোল+েন+নি, ভোল+ে+ন+নি
ভোটব্যাংকের ভোট+ব্যাংক+ের
ভুগবে ভুগ+ব+ে
ভুক্তভোগী ভুক্ত+ভোগ+ী
ভূঁইফোড় ভূঁই+ফোড়
ভূকম্পন ভূ+কম্প+ন
ভূলুণ্ঠিত ভূ+লুণ্ঠিত
ভূমি ভূমি
ভূমিদস্যু ভূমি+দস্যু
ভূমিহীনপল্লীতে ভূমি+হীন+পল্লী+তে
ভূমিকাতেই ভূমিকা+তে+ই
ভূমিও ভূমি+ও
ভরিয়ে ভর+ি+য়ে, ভর+িয়ে
ভরণপোষণ ভরণ+পোষণ
ভরসা ভরসা
ভ্রাতৃত্বসুলভ ভ্রাতৃ+ত্ব+সুলভ
ভ্রান্তি ভ্রান্ত+ি
ছাত্রীও ছাত্র+ী+ও
ছাত্রকে ছাত্র+কে
ছাদে ছাদ+ে
ছেদক ছেদ+ক
ছেলেসহ ছেলে+সহ
ছেলেটার ছেলে+টা+র
ছিল ছিল
ছিলো ছিল+ো
ছিপিটাই ছিপি+টা+ই
ছুরিকাঘাতে ছুরি+কা+ঘাত+ে
ছুড়ে ছুড়+ে
ছয়জন ছয়+জন
ছয়টি ছয়+টি

ধঁাধা ধঁাধা
ধঁাধাই ধঁাধা+ই
ধারাবাহিকতা ধারা+বাহ+িক+তা
ধারাল ধারাল
ধারণাই ধারণা+ই
ধারণায় ধারণা+য়
ধোয়া ধোয়া
ধসের ধস+ের
ধুঁকে ধুঁক+ে
ধুয়েমুছে ধু+য়ে+মুছ+ে
ধনী ধনী
ধনেপাতা ধনে+পাতা
ধর্ম ধর্ম
ধর্মভিত্তিকে ধর্ম+ভিত্তি+কে
ধর্মদাসা ধর্ম+দাসা
ধর্মহীন ধর্ম+হীন
ধর্মপুস্তক ধর্ম+পুস্তক
ঘাঁটিতেও ঘাঁটি+তে+ও
ঘাসচত্বরে ঘাস+চত্বর+ে
ঘাসই ঘাস+ই
ঘাতকে ঘাত+কে
ঘাটতির ঘাটতি+র
ঘেঁষে ঘেঁষে
ঘুচিয়ে ঘুচ+িয়ে
ঘুমবিজ্ঞানী ঘুম+বি+জ্ঞান+ী
ঘরদোরহীন ঘর+দোর+হীন
ঘটছে ঘট+ছে
ঘটে ঘট+ে
ঘড়ির ঘড়ি+র

জীববিজ্ঞান জীব+বি+জ্ঞান
জীবন জীবন
জীবনকে জীবন+কে
জাতীয়সহ জাত+ীয়+সহ
জাতীয়তাবোধ জাত+ীয়+তা+বোধ
জাতিসংঘ জাত+ি+সংঘ
জাহাজকে জাহাজ+কে
জানাচ্ছি জান+া+চ্ছ+ি
জানারও জান+া+র+ও
জানত জানত
জার্নালের জার্নাল+ের
জায়গাজমির জায়গা+জমি+র
জেলাগুলোর জেলা+গুলো+র
জিজ্ঞাসাদের জিজ্ঞাসা+দের
জিমন্যাসিয়াম জিমন্যাসিয়াম
জিনিসই জিনিস+ই
জোন জোন
জোরেই জোর+ে+ই
জোটগত জোট+গত
জোয়ারের জোয়ার+ের
জুলাই জুলাই
জুনিয়র জুনিয়র
জুটসামগ্রী জুট+সামগ্রী
জুটমিলস জুট+মিল+স
জুয়াড়িদের জুয়াড়ি+দের
জবাবদিহি জবাব+দিহি
জগতের জগত+ের
জগন্নাথ জগন্নাথ
জমা জমা
জমিদারবাড়ির জমি+দার+বাড়ি+র
জমল জমল, জম+ল
জনস্বার্থে জন+স্বার্থ+ে
জনগণ জন+গণ
জনগোষ্ঠীর জন+গোষ্ঠী+র
জনমত জনমত
জন্মভূমি জন্ম+ভূমি
জন্মজয়ন্তীর জন্ম+জয়ন্তী+র
জন্মতারিখের জন্ম+তারিখ+ের
জন্মদিনের জন্ম+দিন+ের
জঙ্গি জঙ্গি
জঙ্গিগোষ্ঠীগুলো জঙ্গি+গোষ্ঠী+গুলো
জরিমানা জরিমানা
জরিপগুলোর জরিপ+গুলো+র
জয়টিকে জয়+টি+কে
জ্ঞানকে জ্ঞান+কে
জ্বালানিবিষয়ক জ্বালানি+বিষয়ক
জ্বালায় জ্বাল+া+য়
জ্যাম জ্যাম
খঁুতগুলো খঁুত+গুলো
খাতগুলোর খাত+গুলো+র
খাদ্য খাদ্য
খালাসের খালাস+ের
খাওয়া খা+ওয়া
খেপে খেপ+ে
খেয়াল খেয়াল
খণ্ডযুদ্ধে খণ্ড+যুদ্ধ+ে
খণ্ডকালীন খণ্ড+কাল+ীন
খোঁপার খোঁপা+র
খোঁড়াখুঁড়ি খোঁড়া+খুঁড়ি
খোকা খোকা
খোলাখুলিভাবে খোলা+খুলি+ভাব+ে
খুঁড়িয়ে খুঁড়+িয়ে
খুব খুব
খুদা খুদা
খুললেও খুল+লে+ও
খুশিও খুশি+ও
খনন খনন
খন্দকার খন্দকার
ফঁাকফোকরে ফঁাক+ফোকর+ে
ফাইনালিস্টের ফাইনাল+িস্ট+ের
ফাইনালসহ ফাইনালসহ
ফারাকের ফারাক+ের
ফার্মটিতে ফার্ম+টি+তে
ফাটল ফাট+ল
ফেলেই ফেল+ে+ই
ফেলো ফেল+ো
ফেলুন ফেল+ুন
ফেলব ফেল+ব
ফেলল ফেল+ল
ফের ফের
ফেরায় ফের+া+য়
ফিল্ডাররা ফিল্ড+ার+রা
ফিশিং ফিশ+িং
ফোঁটা ফোঁটা
ফোন ফোন
ফুলে ফুল+ে
ফুলঝুরি ফুল+ঝুরি
ফরমুলা ফরমুলা
ফরম্যাটেই ফরম্যাট+ে+ই
ফর্মের ফর্ম+ের
ফটকে ফটকে
ফ্লাডলাইটের ফ্লাড+লাইট+ের
ফ্লাইওভারসংক্রান্ত ফ্লাই+ওভার+সংক্রান্ত
ফ্রেম ফ্রেম
সৌন্দর্য সৌন্দর্য
সৌরভে সৌরভ+ে
সৌরভকেই সৌরভ+কে+ই
সাধারণের সাধারণ+ের
সাধনা সাধনা
সাফটাকে সাফটা+কে
সাবানের সাবান+ের
সাবলেট সাব+লেট
সাবওয়ে সাব+ওয়ে
সাথীর সাথী+র
সাহায্যেই সাহায্য+ে+ই
সাহিত্য সাহিত্য
সাহসও সাহস+ও
সাইক্লিস্টের সাইক্লিস্ট+ের
সাইক্লোনের সাইক্লোন+ের
সাইনবোর্ডটা সাইন+বোর্ড+টা
সাক্ষীরাও সাক্ষী+রা+ও
সালে সাল+ে
সামগ্রী সামগ্রী
সাময়িকীটি সাময়িক+ী+টি
সাম্রাজ্যে সাম্রাজ্য+ে
সারাদেশে সারা+দেশ+ে
সারসংক্ষেপে সার+সংক্ষেপ+ে
সার্ভিসের সার্ভিস+ের
সার্জেন্টের সার্জেন্ট+ের
সার্টিফিকেটে সার্টিফিকেট+ে
সভা সভা
সভাপতিত্বে সভা+পতি+ত্ব+ে
সভ্য সভ্য
সেতু সেতু
সেঞ্চুরির সেঞ্চুরি+র
সেবাচুক্তির সেবা+চুক্তি+র
সেনাদলটি সেনা+দল+টি
সেনাশাসক সেনা+শাসক
সেশনটায় সেশন+টা+য়
সিনেমা সিনেমা
সিনিয়র সিনিয়র
সিপাহি সিপাহি
সিরিজেই সিরিজ+ে+ই
সিরিজটাকে সিরিজ+টা+কে
সজীব সজীব
সোজাসাপটা সোজা+সাপটা
সোসাইটিকে সোসাইটি+কে
সফলই সফল+ই
সফরেই সফর+ে+ই
সফরেও সফর+ে+ও
সততার সততা+র
সত্তর সত্তর
সুষমা সুষম+া
সুসম্পর্ক সু+সম্পর্ক
সুসংবাদ সু+সংবাদ
সুস্পষ্টভাবেই সু+স্পষ্ট+ভাব+ে+ই
সুবিধা সুবিধা
সুদূরে সু+দূর+ে
সুলভ সুলভ
সুন্নাহভিত্তিক সুন্নাহ+ভিত্তিক
সুপরিচিত সু+পরিচিত
সুরে সুর+ে
সুশীল সু+শীল
সূত্রই সূত্র+ই
সূত্রপাত সূত্র+পাত
সূচকটা সূচক+টা
সূচনাই সূচনা+ই
সঞ্চার সঞ্চার
সঞ্চয় সঞ্চয়
সঞ্চয়পত্রগুলোর সঞ্চয়+পত্র+গুলো+র
সবার সবা+র
সবজায়গায়ই সব+জায়গায়+ই
সবজির সবজি+র
সবকিছুতে সব+কিছু+তে
সবকিছুতেই সব+কিছু+তে+ই
সদস্য সদস্য
সদস্যের সদস্য+ের
সদস্যপদ সদস্য+পদ
সহসভাপতি সহ+সভা+পতি
সহকর্মীর সহ+কর্ম+ী+র
সহপাঠীরা সহ+পাঠ+ী+রা
সকাল সকাল
সমীক্ষাও সমীক্ষা+ও
সমাজসেবক সমাজ+সেবক, সমাজ+সেব+ক
সমাজবাস্তবতার সমাজ+বাস্তব+তা+র
সমাবেশ সমাবেশ
সমালোচনা সমালোচনা
সমান্তরাল সমান্তরাল
সমিতি সমিতি
সমতলের সমতল+ের
সমবায়মন্ত্রী সমবায়+মন্ত্রী
সমকক্ষ সমকক্ষ, সম+কক্ষ
সমর্থক সমর্থক
সমর্থকধন্য সমর্থক+ধন্য
সমর্থকদের সমর্থক+দের
সময়মতোই সময়মতোই, সময়+মতো+ই
সম্মানসূচক সম্মান+সূচক
সম্মেলনটার সম্মেলন+টা+র
সম্পত্তি সম্পত্তি
সম্পদ সম্পদ
সম্পদে সম্পদ+ে
সম্প্রসারণ সম্প্র+সারণ
সন্ধ্যা সন্ধ্যা
সন্তানের সন্তান+ের
সন্ত্রাসবাদীদের সন্ত্রাস+বাদ+ী+দের
সন্ত্রাসবিরোধী সন্ত্রাস+বি+রোধ+ী
সপ্তাহেরই সপ্তাহ+ের+ই
সপ্তমী সপ্তম+ী
সঙ্গীত সঙ্গীত
সঙ্গীতশিল্পী সঙ্গীত+শিল্প+ী
সঙ্গীর সঙ্গ+ী+র
সঙ্কেতের সঙ্কেত+ের
সরানো সর+ান+ো
সরবরাহকারীর সরবরাহ+কার+ী+র
সরদার সরদার
সরগরম সরগরম
সরকার সরকার
সরকারেরই সরকার+ের+ই
সরকারপ্রধানই সরকার+প্রধান+ই
সরলভাবে সরল+ভাব+ে
সর্বজনস্বীকৃত সর্ব+জন+স্বীকৃত
সর্বক্ষেত্রে সর্ব+ক্ষেত্র+ে
সশস্ত্রবাহিনী সশস্ত্র+বাহিনী
সড়ক সড়ক
সংঘাতের সংঘাত+ের
সংঘর্ষ সংঘর্ষ
সংখ্যাগরিষ্ঠতার সংখ্যা+গরিষ্ঠ+তা+র
সংখ্যাই সংখ্যা+ই
সংসদ সংসদ
সংসদে সংসদ+ে
সংস্থাগুলোও সংস্থা+গুলো+ও
সংস্করণ সংস্করণ
সংবাদপত্রগুলো সংবাদ+পত্র+গুলো
সংবাদপত্রকে সংবাদ+পত্র+কে
সংবেদনশীলতার সংবেদন+শীল+তার
সংবিধানকে সংবিধান+কে
সংবিধানপরিপন্থী সংবিধান+পরি+পন্থী
সংবলিত সংবলিত
সংগঠনবিরোধী সংগঠন+বি+রোধ+ী
সংগঠনগুলোসহ সংগঠন+গুলো+সহ
সংযুক্তভাবে সং+যুক্ত+ভাব+ে
সংকেতপ্রাপ্তির সংকেত+প্রাপ্ত+ি+র
সংকলনও সংকলন+ও
সংকটজনক সংকট+জনক
সংলাপ সংলাপ
সংলগ্ন সংলগ্ন
স্ত্রী স্ত্রী
স্বীকারই স্বীকার+ই
স্বাস্থ্যকেন্দ্রে স্বাস্থ্য+কেন্দ্র+ে
স্বাক্ষরযুক্ত স্বাক্ষর+যুক্ত
স্বামী স্বামী
স্বজনেরাও স্ব+জন+েরা+ও
স্বজনপ্রীতি স্ব+জন+প্রীতি
স্বস্তিও স্বস্তি+ও
স্বদেশী স্ব+দেশ+ী
স্বদেশীকে স্ব+দেশ+ী+কে
স্বল্পস্থায়ী স্বল্প+স্থায়ী
স্বর্ণযুগ স্বর্ণ+যুগ
স্বর্গের স্বর্গ+ের
স্থাপনাটি স্থাপনা+টি
স্কোরেই স্কোর+ে+ই
স্কোরটা স্কোর+টা
স্কুল স্কুল
স্লিপ স্লিপ
স্মায়ুতন্ত্রে স্মায়ু+তন্ত্র+ে
স্মৃতিশক্তি স্মৃতি+শক্ত+ি
স্নেহের স্নেহ+ের
স্নৃতিচারণায় স্নৃতি+চারণ+া+য়
স্নরণযোগ্য স্নরণ+যোগ্য
স্পেশালিস্ট স্পেশাল+িস্ট
স্পিনারও স্পিন+ার+ও
স্পিনাররা স্পিন+ার+রা
স্পিনের স্পিন+ের
স্পনসরই স্পনসর+ই
স্প্লিন্টার স্প্লিন্ট+ার, স্প্লিন্টার
স্রষ্টা স্রষ্টা
স্টার্ট স্টার্ট
স্টোরেজের স্টোর+েজ+ের
স্ট্যান্ডরিলিজ স্ট্যান্ড+রিলিজ
তঁাতী তঁাত+ী
তীর্থস্থানসহ তীর্থ+স্থান+সহ
তাত্ক্ষণিক তাত্ক্ষণিক
তাত্পর্যপূর্ণ তাত্পর্য+পূর্ণ
তাগাদা তাগাদা
তাহা তাহা
তাকানোর তাকান+োর
তাকে তাকে, তা+কে
তালিকা তালিকা
তালুতে তালু+তে
তাপমান তাপ+মান
তারা তা+রা
তারিখে তারিখ+ে
তারণের তারণ+ের
তারল্য তারল্য
তেমন তেমন
তিন তিন
তিনতলা তিনতলা
তিনশ তিন+শ
তখন তখন
তোমরা তোম+রা
তত্ত্বগতভাবে তত্ত্ব+গত+ভাব+ে
তুষারের তুষার+ের
তুলো তুলো
তুলনামূলক তুলনা+মূলক
তুলনায়ও তুলনা+য়+ও
তবে তবে
তদন্তকার্য তদন্ত+কার্য
তপ্ত তপ্ত
ত্রাণকাজে ত্রাণ+কাজ+ে
ত্রাহি ত্রাহি
ত্রিশ ত্রিশ
ত্রুটিটি ত্রুটি+টি
ডাকে ডাক+ে
ডাকবাংলোকে ডাক+বাংলো+কে
ডানহাতির ডান+হাত+ি+র
ডেটাবেজ ডেটা+বেজ
ডিভিডিরম ডিভিডি+রম
ডিভোর্স ডিভোর্স
ডিফেন্স ডিফেন্স
ডিসেম্বর ডিসেম্বর
ড্রটা ড্র+টা
ড্রটাকে ড্র+টা+কে
ঢাকা ঢাক+া
ঢালেন ঢাল+েন, ঢাল+ে+ন
ঢুকঢুকি ঢুক+ঢুক+ি
ঢঙের ঢঙ+ের
অভিষেক অভিষেক
অভিজ্ঞ অ+ভিজ্ঞ
অভিব্যক্তিতেই অভি+ব্যক্তি+তে+ই
অভিহিত অভি+হিত
অভিযান অভি+যান
অভিনন্দনসিক্ত অভি+নন্দন+সিক্ত
অভিনয়েরও অভিনয়+ের+ও
অভিশাপ অভিশাপ, অভি+শাপ
অধীনেই অধীন+ে+ই
অধিনায়কের অধি+নায়ক+ের
অধ্যায় অধ্যায়
অধ্যায়ে অধ্যায়+ে
অষ্টধার অষ্ট+ধার
অজানা অ+জানা
অজ্ঞাতপরিচয়ের অ+জ্ঞাত+পরিচয়+ের
অণ্ডকোষ অণ্ড+কোষ
অসিতবরণ অসিত+বরণ
অসুখের অ+সুখ+ের
অসুবিধাও অ+সুবিধা+ও
অসহায়ত্বকে অ+সহায়+ত্ব+কে
অসম্ভবকে অ+সম্ভব+কে
অস্তিত্ব অস্তিত্ব
অস্থির অ+স্থির
অতীতটাও অতীত+টা+ও
অতিসত্তর অতি+সত্তর
অতিথেয়তা অতিথেয়+তা
অতৃপ্তি অ+তৃপ্ত+ি
অঞ্চলের অঞ্চল+ের
অবাঙালিদের অ+বাঙাল+ি+দের
অবিভক্ত অ+বিভক্ত
অবিকৃতভাবে অ+বিকৃত+ভাব+ে
অবিরাম অ+বিরাম
অবস্থারও অবস্থা+র+ও
অবস্থাটা অবস্থা+টা
অব্যাহত অ+ব্যাহত
অগণিত অ+গণিত
অগ্নিগোলা অগ্নি+গোলা
অগ্নিনির্বাপণের অগ্নি+নির্বাপণ+ের
অগ্রগতির অগ্র+গতি+র
অহনে অহন+ে
অক্টোবর অক্টোবর
অল্পকাল অল্প+কাল
অনার্সে অনার্স+ে
অনেকটুকু অনেক+টুকু
অনির্বাণ অ+নির্বাণ
অনিশ্চিত অ+নিশ্চিত
অনুষ্ঠান অনুষ্ঠান
অনুষ্ঠিত অনুষ্ঠিত
অনুসন্ধান অনু+সন্ধান
অনুচর অনু+চর
অনুযোগ অনু+যোগ
অনুপমা অনুপম+া
অনন্তকাল অনন্ত+কাল
অনন্য অনন্য
অন্ধত্বের অন্ধ+ত্ব+ের
অন্যত্রও অন্যত্র+ও
অপারেশন অপারেশন
অপারগ অপারগ
অপছন্দও অ+পছন্দ+ও
অপেক্ষমান অপেক্ষ+মান
অপেরা অপেরা
অপব্যবহারকেও অপ+ব্যবহার+কে+ও
অপব্যয়ের অপ+ব্যয়+ের
অপহরণকালে অপ+হরণ+কাল+ে
অপহরণকারী অপ+হরণ+কার+ী
অপকর্মে অপ+কর্ম+ে
অপপ্রচারে অপ+প্রচার+ে
অপরাধীকে অপরাধ+ী+কে
অপরাধমুক্ত অপরাধ+মুক্ত
অপশক্তিকে অপ+শক্ত+ি+কে
অপ্রকাশিত অ+প্রকাশ+িত
অঙ্গনে অঙ্গন+ে
অর্ধেকটাই অর্ধ+েক+টা+ই
অর্জনকে অর্জন+কে
অর্চনা অর্চনা
অর্থ অর্থ
অর্থায়নেও অর্থ+ায়ন+ে+ও
অর্থমন্ত্রীরই অর্থ+মন্ত্রী+র+ই
অর্থনীতি অর্থ+নীতি
অর্থনীতিতে অর্থ+নীতি+তে
অর্থনীতিও অর্থ+নীতি+ও
অর্থপ্রাপ্তির অর্থ+প্রাপ্ত+ি+র
অশীতিপর অশীতি+পর
অশ্লীলতামুক্ত অ+শ্লীল+তা+মুক্ত
অটো অটো
অঝরে অ+ঝর+ে
অয়েলচালিত অয়েল+চালিত
অয়েলও অয়েল+ও
অ্যাসোসিয়েশনও অ্যাসোসিয়েশন+ও
অ্যাড অ্যাড
অ্যাকটিভ অ্যাকটিভ
অ্যালার্ম অ্যালার্ম
অ্যাটাকটাও অ্যাটাক+টা+ও
বৈচিত্র্য বৈচিত্র্য
বৈকালী বৈকাল+ী
বৈঠকেরও বৈঠক+ের+ও
বৈঠকগুলোর বৈঠক+গুলো+র
বঁাচাও বঁাচ+া+ও
বঁাকা বঁাক+া
বঁাশজানি বঁাশ+জানি
বীজটাকে বীজ+টা+কে
বীরগড় বীর+গড়
বৌদ্ধধর্মীয় বৌদ্ধ+ধর্ম+ীয়
বাঁধতে বাঁধ+তে
বাধা বাধ+া
বাধাগুলো বাধ+া+গুলো
বাধাও বাধ+া+ও
বাজারজাতকরণ বাজার+জাত+করণ
বাজতে বাজ+তে
বাণিজ্যিকীকরণ বাণিজ্য+িক+ী+করণ
বাসভবনে বাস+ভবন+ে
বাসে বাস+ে
বাসস্থানে বাস+স্থান+ে
বাসস্ট্যান্ড বাস+স্ট্যান্ড
বাসচালক বাস+চালক
বাসচালককে বাস+চালক+কে
বাস্তবক্ষেত্রে বাস্তব+ক্ষেত্র+ে
বাবা বাবা
বাদ্যযন্ত্র বাদ্য+যন্ত্র
বাহিনীগুলো বাহিনী+গুলো
বাই বাই
বাকী বাক+ী
বালির বালি+র
বালুছড়ায় বালু+ছড়া+য়
বানানরীতির বানান+রীতি+র
বানোয়াট বানোয়াট
বার বার
বাটকে বাট+কে
বাউকাঠি বাউ+কাঠি
বাউন্ডারিতে বাউন্ডারি+তে
বায়োস্কোপ বায়োস্কোপ
বায়ুমান বায়ু+মান
বাড়ি বাড়ি
বাংলাদেশ বাংলা+দেশ
বছরতিনেক বছর+তিন+েক
বছরটি বছর+টি
বেতারকেন্দ্রের বেতার+কেন্দ্র+ের
বেবিট্যাক্সিও বেবি+ট্যাক্সি+ও
বেকারিগুলোয় বেকারি+গুলো+য়
বেলার বেলা+র
বেলায় বেলা+য়
বেলেপুকুরে বেলে+পুকুর+ে
বেনিয়াসুলভ বেনিয়া+সুলভ
বেঙ্গলের বেঙ্গল+ের
বেরঙের বে+রঙ+ের
বিভেদ বি+ভেদ
বিধিনিষেধের বিধি+নিষেধ+ের
বিষ বিষ
বিষবাষ্পকে বিষ+বাষ্প+কে
বিষয়সমূহ বিষয়+সমূহ
বিষয়ও বিষয়+ও
বিজয়নগর বি+জয়+নগর
বিজ্ঞান বি+জ্ঞান
বিসর্জন বিসর্জন
বিস্তৃত বিস্তৃত
বিস্তৃতিকে বিস্তৃত+ি+কে
বিস্নয় বিস্নয়
বিস্নয়করভাবে বিস্নয়+কর+ভাব+ে
বিতর্ক বি+তর্ক
বিতর্কই বি+তর্ক+ই
বিবেক বিবেক
বিবিরও বিবি+র+ও
বিবরণী বিবরণ+ী
বিবরণীর বিবরণ+ী+র
বিচারকরা বিচার+ক+রা
বিচারকরাও বিচার+ক+রা+ও
বিচারপতি বিচার+পতি
বিচ্ছেদ বি+চ্ছেদ
বিদ্রুপ বিদ্রুপ
বিকেল বিকেল
বিক্ষোভকারীরা বি+ক্ষোভ+কার+ী+রা
বিক্রেতারা বি+ক্রেতা+রা
বিলটি বিল+টি
বিমান বিমান
বিমানবাহিনীপ্রধানরা বিমান+বাহিনী+প্রধান+রা
বিমানকর্মীদের বিমান+কর্ম+ী+দের
বিনা বিনা
বিন্দুতে বিন্দু+তে
বিপত্সীমা বিপত্+সীমা
বিপরীত বিপরীত
বিরোধী বি+রোধ+ী
বিরুদ্ধেই বিরুদ্ধ+ে+ই
বিশেষ বিশেষ
বিশ্বাসে বিশ্বাস+ে
বিশ্বায়নবিরোধী বিশ্ব+ায়ন+বি+রোধ+ী
বিশ্ববরেণ্য বিশ্ব+বরেণ্য
বিয়েকে বিয়ে+কে
বিড়ালের বিড়াল+ের
বখাটে বখা+টে
বোলারে বোলার+ে
বোনই বোন+ই
বৃদ্ধসহ বৃদ্ধ+সহ
বসি বস+ি
বসতির বসতি+র
বসল বস+ল
বস্তাবন্দি বস্তা+বন্দ+ি
বুলোতে বুলো+তে
বুঝে বুঝ+ে
বুঝবে বুঝ+ব+ে
বঞ্চনার বঞ্চনা+র
বহিঃপ্রকাশ বহিঃ+প্রকাশ
বহুধাবিভক্ত বহুধা+বিভক্ত
বহুবার বহু+বার
বহনকারী বহন+কার+ী
বলাটা বল+া+টা
বলের বল+ের
বলতেন বল+ত+ে+ন, বল+তে+ন
বনফুল বন+ফুল
বন্ধন বন্ধন
বঙ্গবাজারেও বঙ্গ+বাজার+ে+ও
বরাবরও বরাবর+ও
বরাদ্দ বরাদ্দ
বরমাল্য বর+মাল্য
বর্জনীয় বর্জন+ীয়
বর্তাবে বর্ত+া+ব+ে, বর্ত+া+বে
বর্তমানকালে বর্তমান+কাল+ে
ব্যাচে ব্যাচ+ে
ব্যাহত ব্যাহত
ব্যাটসম্যানই ব্যাট+স+ম্যান+ই
ব্যাংকের ব্যাংক+ের
ব্যবসায়ীকেই ব্যবসা+য়ী+কে+ই
ব্যবস্থা ব্যবস্থা
ব্যবস্থাসমূহ ব্যবস্থা+সমূহ
ব্যবস্থাপনা ব্যবস্থা+পনা
ব্যবস্থায় ব্যবস্থা+য়
ব্যবহার ব্যবহার
ব্যথাতুর ব্যথা+তুর
ব্যক্তি ব্যক্তি
ব্যক্তিত্বরা ব্যক্তি+ত্ব+রা
ব্যক্তিই ব্যক্ত+ি+ই
ব্যয়সহ ব্যয়+সহ
ব্ল্যাকমেলিং ব্ল্যাক+মেল+িং
চৌকিগুলো চৌকি+গুলো
চৌকোনা চৌ+কোন+া
চৌকস চৌকস
চাঁদাবাজই চাঁদা+বাজ+ই
চাষ চাষ
চাকরি চাকর+ি
চালিয়েছ চাল+িয়ে+ছ
চামচাদের চামচা+দের
চাপা চাপ+া
চারজনে চার+জন+ে
চেষ্টা চেষ্ট+া, চেষ্টা
চেনা চেন+া
চেয়ারম্যানসহ চেয়ার+ম্যান+সহ
চিত্রসাংবাদিকরা চিত্র+সাংবাদিক+রা
চিনবে চিন+ব+ে
চিন্তামুক্ত চিন্তা+মুক্ত
চিঠিতে চিঠি+তে
চিড়গুলো চিড়+গুলো
চোশত চোশত
চুলায় চুলা+য়
চুলোয় চুলো+য়
চঞ্চলতা চঞ্চল+তা
চকে চক+ে
চক্রান্ত চক্রান্ত
চক্রান্তকারীরা চক্রান্ত+কার+ী+রা
চক্রটি চক্র+টি
